,Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear
8649,3076,Python,,,,Docker,,React.js,Flask
8650,3076,,,,,Linux,,Vue.js,
8651,3076,,,,,MacOS,,,
8652,3076,,,,,Slack,,,
8653,3077,Elixir,Elixir,Elasticsearch,Elasticsearch,AWS,AWS,Ruby on Rails,Vue.js
8654,3077,HTML/CSS,TypeScript,MySQL,PostgreSQL,Docker,Docker,Vue.js,Other(s):
8655,3077,JavaScript,,PostgreSQL,Redis,Heroku,Linux,Other(s):,
8656,3077,Ruby,,Redis,,MacOS,Microsoft Azure,,
8657,3077,SQL,,SQLite,,,,,
8658,3078,C,C,MariaDB,Elasticsearch,Docker,Docker,,
8659,3078,C++,C++,MySQL,MariaDB,Linux,Linux,,
8660,3078,,Rust,PostgreSQL,MySQL,Raspberry Pi,,,
8661,3078,,,Redis,PostgreSQL,,,,
8662,3078,,,SQLite,Redis,,,,
8663,3078,,,,SQLite,,,,
8664,3081,C#,Kotlin,Firebase,Firebase,Android,Android,Angular/Angular.js,
8665,3081,HTML/CSS,,MongoDB,MongoDB,Docker,Raspberry Pi,React.js,
8666,3081,Java,,Microsoft SQL Server,MySQL,Google Cloud Platform,Slack,Spring,
8667,3081,JavaScript,,MySQL,SQLite,iOS,,,
8668,3081,Kotlin,,Oracle,,Linux,,,
8669,3081,Objective-C,,SQLite,,MacOS,,,
8670,3081,SQL,,,,Raspberry Pi,,,
8671,3081,Swift,,,,Slack,,,
8672,3081,,,,,Windows,,,
8673,3086,Python,Python,Microsoft SQL Server,Microsoft SQL Server,Linux,AWS,,
8674,3086,R,R,MySQL,MySQL,Raspberry Pi,Docker,,
8675,3086,SQL,SQL,Oracle,PostgreSQL,Windows,Linux,,
8676,3086,,,PostgreSQL,SQLite,,Raspberry Pi,,
8677,3086,,,SQLite,,,Windows,,
8678,3087,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Redis,Elasticsearch,Linux,Linux,Angular/Angular.js,Angular/Angular.js
8679,3087,C,C,SQLite,Redis,,,Flask,Flask
8680,3087,C++,C++,,,,,Vue.js,Vue.js
8681,3087,HTML/CSS,Go,,,,,,
8682,3087,Java,HTML/CSS,,,,,,
8683,3087,JavaScript,JavaScript,,,,,,
8684,3087,PHP,PHP,,,,,,
8685,3087,Python,Python,,,,,,
8686,3087,,R,,,,,,
8687,3087,,WebAssembly,,,,,,
8688,3088,C#,C#,MongoDB,Elasticsearch,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js
8689,3088,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,Windows,Windows,ASP.NET,ASP.NET
8690,3088,JavaScript,JavaScript,Oracle,Microsoft SQL Server,,,,
8691,3088,SQL,SQL,,,,,,
8692,3088,,TypeScript,,,,,,
8693,3090,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Microsoft SQL Server,Docker,,,Django
8694,3090,C#,C#,Microsoft SQL Server,MySQL,Microsoft Azure,,,Flask
8695,3090,HTML/CSS,HTML/CSS,,SQLite,,,,React.js
8696,3090,Java,Python,,,,,,
8697,3090,JavaScript,SQL,,,,,,
8698,3090,PHP,,,,,,,
8699,3090,Python,,,,,,,
8700,3090,SQL,,,,,,,
8701,3091,Bash/Shell/PowerShell,Swift,PostgreSQL,MongoDB,Docker,Docker,Express,Express
8702,3091,JavaScript,TypeScript,SQLite,Redis,Linux,Kubernetes,Flask,React.js
8703,3091,PHP,WebAssembly,,Other(s):,MacOS,Linux,jQuery,
8704,3091,Python,,,,Slack,MacOS,React.js,
8705,3091,SQL,,,,,Slack,,
8706,3092,C++,Go,MariaDB,MariaDB,Heroku,Linux,Django,Django
8707,3092,HTML/CSS,JavaScript,MongoDB,MySQL,Linux,Slack,Express,Express
8708,3092,JavaScript,Python,MySQL,,Slack,WordPress,Laravel,Laravel
8709,3092,PHP,Ruby,PostgreSQL,,Windows,,Ruby on Rails,React.js
8710,3092,Python,TypeScript,SQLite,,WordPress,,Vue.js,Ruby on Rails
8711,3092,SQL,,,,,,,
8712,3092,TypeScript,,,,,,,
8713,3096,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,React.js
8714,3096,HTML/CSS,HTML/CSS,,,,,ASP.NET,
8715,3096,JavaScript,JavaScript,,,,,jQuery,
8716,3096,SQL,R,,,,,React.js,
8717,3096,TypeScript,SQL,,,,,,
8718,3096,,TypeScript,,,,,,
8719,3097,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MariaDB,Google Cloud Platform,Google Cloud Platform,ASP.NET,ASP.NET
8720,3097,C#,C#,MySQL,MongoDB,MacOS,MacOS,,
8721,3097,JavaScript,JavaScript,,Microsoft SQL Server,Raspberry Pi,Microsoft Azure,,
8722,3097,PHP,PHP,,MySQL,Windows,Raspberry Pi,,
8723,3097,SQL,Python,,PostgreSQL,WordPress,Windows,,
8724,3097,VBA,Scala,,SQLite,,WordPress,,
8725,3097,,SQL,,,,,,
8726,3097,,TypeScript,,,,,,
8727,3097,,VBA,,,,,,
8728,3100,Java,Python,PostgreSQL,PostgreSQL,AWS,AWS,Django,Django
8729,3100,Python,SQL,,,,,Flask,Flask
8730,3100,SQL,,,,,,,
8731,3101,Assembly,C,Microsoft SQL Server,MongoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js
8732,3101,C,C#,Oracle,Microsoft SQL Server,Microsoft Azure,Docker,ASP.NET,ASP.NET
8733,3101,C#,Objective-C,,Oracle,Windows,Microsoft Azure,jQuery,jQuery
8734,3101,HTML/CSS,TypeScript,,,,Windows,React.js,React.js
8735,3101,JavaScript,,,,,,,
8736,3101,SQL,,,,,,,
8737,3104,C,HTML/CSS,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Express
8738,3104,HTML/CSS,JavaScript,MongoDB,MongoDB,AWS,AWS,Express,React.js
8739,3104,Java,Python,MySQL,,Docker,Docker,React.js,
8740,3104,JavaScript,Rust,,,Google Cloud Platform,Heroku,Spring,
8741,3104,Python,TypeScript,,,Heroku,iOS,,
8742,3104,TypeScript,WebAssembly,,,iOS,Kubernetes,,
8743,3104,,,,,Kubernetes,Linux,,
8744,3104,,,,,Linux,MacOS,,
8745,3104,,,,,MacOS,Raspberry Pi,,
8746,3104,,,,,Raspberry Pi,Slack,,
8747,3104,,,,,Slack,Windows,,
8748,3104,,,,,Windows,,,
8749,3105,C,C,Microsoft SQL Server,PostgreSQL,Android,iOS,Angular/Angular.js,
8750,3105,C++,C++,MySQL,,iOS,Other(s):,Django,
8751,3105,Java,Python,PostgreSQL,,MacOS,,Other(s):,
8752,3105,Kotlin,Swift,,,Slack,,,
8753,3105,Objective-C,,,,Windows,,,
8754,3105,Python,,,,WordPress,,,
8755,3105,Swift,,,,Other(s):,,,
8756,3111,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,Couchbase,Android,Arduino,Angular/Angular.js,
8757,3111,HTML/CSS,HTML/CSS,PostgreSQL,Firebase,Arduino,Google Cloud Platform,jQuery,
8758,3111,JavaScript,JavaScript,,PostgreSQL,Linux,Linux,Laravel,
8759,3111,PHP,Python,,,WordPress,,React.js,
8760,3111,Python,R,,,,,,
8761,3111,SQL,WebAssembly,,,,,,
8762,3116,Python,Dart,PostgreSQL,PostgreSQL,Android,Docker,Django,Django
8763,3116,,Python,Redis,Redis,Docker,Kubernetes,Vue.js,Vue.js
8764,3116,,Rust,,SQLite,Linux,Linux,,
8765,3119,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Android,Android,React.js,React.js
8766,3119,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Ruby on Rails,Ruby on Rails
8767,3119,HTML/CSS,HTML/CSS,MySQL,MySQL,Docker,Docker,,
8768,3119,Java,Java,,,Google Cloud Platform,Google Cloud Platform,,
8769,3119,JavaScript,JavaScript,,,Linux,Linux,,
8770,3119,Ruby,Ruby,,,Windows,Windows,,
8771,3121,C,C#,Microsoft SQL Server,Microsoft SQL Server,Google Cloud Platform,AWS,Angular/Angular.js,Angular/Angular.js
8772,3121,C#,HTML/CSS,,,Heroku,Google Cloud Platform,ASP.NET,ASP.NET
8773,3121,HTML/CSS,Python,,,Microsoft Azure,Kubernetes,Flask,Vue.js
8774,3121,Python,R,,,Windows,Microsoft Azure,Vue.js,
8775,3121,R,SQL,,,,Windows,,
8776,3121,SQL,WebAssembly,,,,,,
8777,3121,WebAssembly,,,,,,,
8778,3122,C,Swift,Elasticsearch,MySQL,AWS,AWS,Express,Express
8779,3122,C++,TypeScript,MySQL,PostgreSQL,Docker,Docker,,React.js
8780,3122,JavaScript,,PostgreSQL,Redis,iOS,iOS,,
8781,3122,Objective-C,,Redis,SQLite,Linux,Linux,,
8782,3122,Swift,,SQLite,,MacOS,MacOS,,
8783,3122,TypeScript,,,,Raspberry Pi,Raspberry Pi,,
8784,3122,,,,,Slack,Slack,,
8785,3125,C#,C#,Elasticsearch,Elasticsearch,Windows,Windows,ASP.NET,ASP.NET
8786,3126,HTML/CSS,Bash/Shell/PowerShell,PostgreSQL,Firebase,Docker,Android,Django,Django
8787,3126,JavaScript,Clojure,Redis,PostgreSQL,,AWS,Flask,Flask
8788,3126,Python,HTML/CSS,SQLite,Redis,,Docker,jQuery,jQuery
8789,3126,,JavaScript,,SQLite,,Heroku,,React.js
8790,3126,,Python,,,,iOS,,Vue.js
8791,3126,,SQL,,,,Kubernetes,,
8792,3126,,,,,,Linux,,
8793,3126,,,,,,Raspberry Pi,,
8794,3126,,,,,,WordPress,,
8795,3132,HTML/CSS,HTML/CSS,,DynamoDB,,,Express,Express
8796,3132,JavaScript,JavaScript,,,,,React.js,React.js
8797,3132,,Python,,,,,,
8798,3140,HTML/CSS,Java,DynamoDB,DynamoDB,AWS,AWS,jQuery,Angular/Angular.js
8799,3140,Java,Other(s):,,Elasticsearch,Docker,Docker,Spring,jQuery
8800,3140,JavaScript,,,,,,,React.js
8801,3140,,,,,,,,Spring
8802,3140,,,,,,,,Vue.js
8803,3142,HTML/CSS,Go,DynamoDB,DynamoDB,AWS,AWS,Flask,Flask
8804,3142,Java,Python,Oracle,Redis,Docker,Slack,,
8805,3142,JavaScript,,,,Heroku,,,
8806,3142,Python,,,,Kubernetes,,,
8807,3145,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Oracle,,,Angular/Angular.js,Angular/Angular.js
8808,3145,C#,C#,,,,,ASP.NET,ASP.NET
8809,3145,HTML/CSS,Python,,,,,,
8810,3145,JavaScript,SQL,,,,,,
8811,3145,Python,TypeScript,,,,,,
8812,3145,SQL,,,,,,,
8813,3145,TypeScript,,,,,,,
8814,3150,C,C++,PostgreSQL,MongoDB,Linux,Linux,jQuery,Angular/Angular.js
8815,3150,C++,HTML/CSS,SQLite,PostgreSQL,Windows,Windows,,jQuery
8816,3150,HTML/CSS,JavaScript,,SQLite,,,,React.js
8817,3150,JavaScript,Python,,,,,,Other(s):
8818,3150,Other(s):,,,,,,,
8819,3151,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular/Angular.js,ASP.NET
8820,3151,C#,HTML/CSS,,Redis,,,ASP.NET,React.js
8821,3151,HTML/CSS,JavaScript,,,,,jQuery,Vue.js
8822,3151,JavaScript,SQL,,,,,React.js,
8823,3151,SQL,TypeScript,,,,,,
8824,3152,Java,Java,MongoDB,MySQL,Docker,Docker,Angular/Angular.js,Angular/Angular.js
8825,3152,JavaScript,JavaScript,MySQL,,Kubernetes,Linux,jQuery,jQuery
8826,3152,,,Redis,,Linux,,Spring,Spring
8827,3152,,,,,,,Other(s):,Vue.js
8828,3152,,,,,,,,Other(s):
8829,3153,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Docker,Docker,Angular/Angular.js,Express
8830,3153,C,HTML/CSS,MySQL,MongoDB,Google Cloud Platform,Google Cloud Platform,jQuery,React.js
8831,3153,HTML/CSS,JavaScript,,MySQL,IBM Cloud or Watson,IBM Cloud or Watson,React.js,Ruby on Rails
8832,3153,Java,Python,,,Linux,Linux,,Vue.js
8833,3153,JavaScript,TypeScript,,,Windows,,,
8834,3153,PHP,WebAssembly,,,WordPress,,,
8835,3153,Python,,,,,,,
8836,3153,TypeScript,,,,,,,
8837,3155,Other(s):,Bash/Shell/PowerShell,,,,Docker,Express,Express
8838,3155,,JavaScript,,,,,,Other(s):
8839,3155,,Python,,,,,,
8840,3155,,R,,,,,,
8841,3156,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,Express
8842,3156,C#,Go,Microsoft SQL Server,PostgreSQL,Linux,Google Cloud Platform,ASP.NET,React.js
8843,3156,HTML/CSS,HTML/CSS,,Redis,Microsoft Azure,Linux,Express,Vue.js
8844,3156,JavaScript,JavaScript,,,Raspberry Pi,Raspberry Pi,React.js,
8845,3156,,Rust,,,Windows,,Vue.js,
8846,3156,,TypeScript,,,,,,
8847,3159,Bash/Shell/PowerShell,C,MySQL,Redis,Linux,iOS,Flask,Flask
8848,3159,C#,C++,Oracle,,,Linux,React.js,
8849,3159,HTML/CSS,C#,PostgreSQL,,,Microsoft Azure,,
8850,3159,JavaScript,Python,,,,,,
8851,3159,Python,R,,,,,,
8852,3159,SQL,,,,,,,
8853,3163,C,HTML/CSS,MySQL,MySQL,Linux,Android,Angular/Angular.js,Angular/Angular.js
8854,3163,C++,Java,Oracle,Oracle,Raspberry Pi,Arduino,jQuery,React.js
8855,3163,HTML/CSS,JavaScript,,PostgreSQL,Windows,AWS,,Spring
8856,3163,Java,SQL,,,,,,
8857,3163,JavaScript,,,,,,,
8858,3163,SQL,,,,,,,
8859,3164,C++,C++,Other(s):,Other(s):,Windows,Linux,,ASP.NET
8860,3164,C#,C#,,,,MacOS,,Other(s):
8861,3164,SQL,Other(s):,,,,Windows,,
8862,3165,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,AWS,Spring,Spring
8863,3165,C,Dart,,PostgreSQL,,Docker,,
8864,3165,C++,Java,,Redis,,Kubernetes,,
8865,3165,HTML/CSS,Kotlin,,,,Microsoft Azure,,
8866,3165,Java,Rust,,,,,,
8867,3165,,WebAssembly,,,,,,
8868,3173,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Windows,Windows,jQuery,Angular/Angular.js
8869,3173,Java,Java,Oracle,Microsoft SQL Server,,,Spring,ASP.NET
8870,3173,JavaScript,JavaScript,,MySQL,,,,jQuery
8871,3173,SQL,TypeScript,,Oracle,,,,Spring
8872,3174,HTML/CSS,HTML/CSS,MongoDB,Oracle,,,Angular/Angular.js,Angular/Angular.js
8873,3174,JavaScript,JavaScript,Oracle,,,,,
8874,3174,TypeScript,TypeScript,,,,,,
8875,3177,C#,C#,Oracle,Oracle,Windows,Microsoft Azure,Angular/Angular.js,Angular/Angular.js
8876,3177,HTML/CSS,HTML/CSS,,,,Windows,ASP.NET,ASP.NET
8877,3177,JavaScript,JavaScript,,,,,jQuery,
8878,3177,TypeScript,TypeScript,,,,,,
8879,3180,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,PostgreSQL,AWS,Arduino,Angular/Angular.js,ASP.NET
8880,3180,C#,C#,Microsoft SQL Server,SQLite,Docker,AWS,ASP.NET,React.js
8881,3180,Go,Elixir,PostgreSQL,,Other(s):,Docker,React.js,Vue.js
8882,3180,HTML/CSS,Erlang,SQLite,,,Google Cloud Platform,Spring,
8883,3180,Java,F#,Other(s):,,,Heroku,,
8884,3180,JavaScript,Go,,,,iOS,,
8885,3180,Python,HTML/CSS,,,,Kubernetes,,
8886,3180,SQL,JavaScript,,,,MacOS,,
8887,3180,TypeScript,SQL,,,,Other(s):,,
8888,3180,,WebAssembly,,,,,,
8889,3180,,Other(s):,,,,,,
8890,3181,Bash/Shell/PowerShell,Kotlin,PostgreSQL,PostgreSQL,AWS,AWS,,
8891,3181,HTML/CSS,Scala,,,Docker,Docker,,
8892,3181,Scala,Other(s):,,,Kubernetes,Kubernetes,,
8893,3181,SQL,,,,MacOS,MacOS,,
8894,3182,HTML/CSS,HTML/CSS,Firebase,Firebase,Android,Arduino,Angular/Angular.js,Angular/Angular.js
8895,3182,Java,JavaScript,MongoDB,MongoDB,IBM Cloud or Watson,AWS,Express,Express
8896,3182,JavaScript,TypeScript,PostgreSQL,,Linux,Google Cloud Platform,React.js,React.js
8897,3182,TypeScript,,,,Slack,IBM Cloud or Watson,Spring,
8898,3182,,,,,,Linux,,
8899,3182,,,,,,Slack,,
8900,3187,Bash/Shell/PowerShell,C#,DynamoDB,MySQL,AWS,AWS,jQuery,Vue.js
8901,3187,HTML/CSS,Kotlin,MySQL,PostgreSQL,Linux,Docker,Vue.js,
8902,3187,JavaScript,PHP,,,Windows,Linux,,
8903,3187,PHP,SQL,,,,Windows,,
8904,3187,SQL,TypeScript,,,,,,
8905,3187,TypeScript,,,,,,,
8906,3196,C#,JavaScript,MariaDB,,Android,Android,Django,Angular/Angular.js
8907,3196,Python,,MySQL,,Arduino,Arduino,,Django
8908,3196,,,PostgreSQL,,,Raspberry Pi,,React.js
8909,3197,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Oracle,Google Cloud Platform,Android,,Angular/Angular.js
8910,3197,Java,Go,Oracle,PostgreSQL,Linux,AWS,,jQuery
8911,3197,Python,HTML/CSS,,Redis,MacOS,Docker,,Spring
8912,3197,,Java,,,Windows,Linux,,
8913,3197,,JavaScript,,,,Raspberry Pi,,
8914,3197,,Kotlin,,,,Windows,,
8915,3197,,Python,,,,,,
8916,3197,,Scala,,,,,,
8917,3197,,SQL,,,,,,
8918,3197,,TypeScript,,,,,,
8919,3200,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,Docker,AWS,jQuery,jQuery
8920,3200,C++,C++,PostgreSQL,,Linux,Docker,,
8921,3200,HTML/CSS,HTML/CSS,,,WordPress,Linux,,
8922,3200,Java,JavaScript,,,,Raspberry Pi,,
8923,3200,JavaScript,Python,,,,WordPress,,
8924,3200,PHP,R,,,,,,
8925,3200,Python,SQL,,,,,,
8926,3200,R,,,,,,,
8927,3200,SQL,,,,,,,
8928,3202,C#,C#,Microsoft SQL Server,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js
8929,3202,HTML/CSS,Go,MySQL,MongoDB,AWS,AWS,ASP.NET,ASP.NET
8930,3202,Java,HTML/CSS,Redis,Microsoft SQL Server,Google Cloud Platform,Docker,jQuery,jQuery
8931,3202,JavaScript,Java,SQLite,MySQL,Microsoft Azure,Google Cloud Platform,Laravel,React.js
8932,3202,PHP,JavaScript,,Redis,Windows,iOS,,
8933,3202,SQL,Kotlin,,SQLite,,Linux,,
8934,3202,,Python,,,,Microsoft Azure,,
8935,3202,,SQL,,,,Windows,,
8936,3202,,TypeScript,,,,,,
8937,3204,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,PostgreSQL,AWS,AWS,Django,Django
8938,3204,C,Go,MongoDB,SQLite,Docker,Kubernetes,,
8939,3204,Go,Python,Oracle,,Heroku,Linux,,
8940,3204,Java,,PostgreSQL,,Linux,Other(s):,,
8941,3204,Python,,SQLite,,Raspberry Pi,,,
8942,3206,Java,Go,Elasticsearch,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js
8943,3206,JavaScript,Java,MongoDB,MySQL,AWS,AWS,jQuery,jQuery
8944,3206,PHP,JavaScript,MySQL,Other(s):,Docker,Docker,Laravel,React.js
8945,3206,Python,Kotlin,Oracle,,Heroku,Kubernetes,Spring,Spring
8946,3206,SQL,Python,Other(s):,,Linux,Linux,,
8947,3206,,Scala,,,Windows,MacOS,,
8948,3206,,SQL,,,,Windows,,
8949,3209,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Google Cloud Platform,Google Cloud Platform,,
8950,3209,C,C,PostgreSQL,Redis,Linux,Kubernetes,,
8951,3209,Go,Go,Redis,SQLite,Slack,Linux,,
8952,3209,HTML/CSS,HTML/CSS,SQLite,,,Slack,,
8953,3209,PHP,PHP,,,,,,
8954,3209,Python,Ruby,,,,,,
8955,3209,Ruby,SQL,,,,,,
8956,3209,SQL,,,,,,,
8957,3211,Java,Java,Firebase,Firebase,Android,Android,,
8958,3211,Kotlin,Kotlin,Oracle,Oracle,Arduino,MacOS,,
8959,3211,Python,Python,,,MacOS,Slack,,
8960,3211,SQL,SQL,,,Slack,Windows,,
8961,3211,,,,,Windows,,,
8962,3212,C#,C++,Microsoft SQL Server,,Android,Arduino,Angular/Angular.js,
8963,3212,HTML/CSS,Kotlin,SQLite,,Microsoft Azure,AWS,ASP.NET,
8964,3212,Java,Objective-C,,,Windows,Docker,,
8965,3212,JavaScript,,,,,Google Cloud Platform,,
8966,3212,SQL,,,,,iOS,,
8967,3212,TypeScript,,,,,Kubernetes,,
8968,3212,,,,,,Linux,,
8969,3212,,,,,,MacOS,,
8970,3212,,,,,,Raspberry Pi,,
8971,3213,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Windows,Linux,ASP.NET,Angular/Angular.js
8972,3213,C#,C#,,,,Windows,jQuery,ASP.NET
8973,3213,HTML/CSS,HTML/CSS,,,,,,jQuery
8974,3213,JavaScript,JavaScript,,,,,,
8975,3213,SQL,Rust,,,,,,
8976,3213,,SQL,,,,,,
8977,3213,,TypeScript,,,,,,
8978,3217,Bash/Shell/PowerShell,Java,Cassandra,PostgreSQL,Docker,Docker,,
8979,3217,Java,,Other(s):,,Linux,Linux,,
8980,3222,Bash/Shell/PowerShell,C#,Elasticsearch,Elasticsearch,AWS,AWS,React.js,React.js
8981,3222,C,HTML/CSS,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,,Vue.js
8982,3222,C++,JavaScript,MySQL,MySQL,Linux,Kubernetes,,
8983,3222,C#,SQL,Redis,PostgreSQL,MacOS,Linux,,
8984,3222,F#,TypeScript,,Redis,Raspberry Pi,MacOS,,
8985,3222,HTML/CSS,,,,Slack,Raspberry Pi,,
8986,3222,JavaScript,,,,Windows,Slack,,
8987,3222,SQL,,,,,Windows,,
8988,3222,TypeScript,,,,,,,
8989,3223,C#,JavaScript,Microsoft SQL Server,Firebase,Windows,Android,ASP.NET,React.js
8990,3223,HTML/CSS,TypeScript,,MongoDB,,AWS,jQuery,Vue.js
8991,3223,JavaScript,,,,,Docker,React.js,
8992,3223,SQL,,,,,,,
8993,3223,TypeScript,,,,,,,
8994,3226,C#,C#,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js
8995,3226,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,Docker,Docker,ASP.NET,ASP.NET
8996,3226,JavaScript,JavaScript,,Firebase,MacOS,MacOS,,Express
8997,3226,TypeScript,TypeScript,,MongoDB,Slack,Slack,,React.js
8998,3226,,,,PostgreSQL,,,,
8999,3227,HTML/CSS,HTML/CSS,MariaDB,MariaDB,Windows,Android,Spring,Flask
9000,3227,Java,Java,Microsoft SQL Server,MongoDB,,Docker,,React.js
9001,3227,SQL,,SQLite,,,Google Cloud Platform,,Spring
9002,3227,,,,,,Heroku,,
9003,3227,,,,,,Windows,,
9004,3228,HTML/CSS,C,Microsoft SQL Server,,Linux,Arduino,Django,
9005,3228,JavaScript,C++,MySQL,,Raspberry Pi,AWS,Flask,
9006,3228,PHP,Java,PostgreSQL,,Windows,,jQuery,
9007,3228,Python,,Redis,,,,,
9008,3228,SQL,,,,,,,
9009,3228,VBA,,,,,,,
9010,3229,HTML/CSS,HTML/CSS,Firebase,Firebase,WordPress,,Angular/Angular.js,Angular/Angular.js
9011,3229,JavaScript,JavaScript,MongoDB,MongoDB,,,React.js,React.js
9012,3229,PHP,SQL,MySQL,MySQL,,,,
9013,3229,SQL,TypeScript,,,,,,
9014,3229,TypeScript,,,,,,,
9015,3230,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Cassandra,Android,AWS,ASP.NET,ASP.NET
9016,3230,C,C,Microsoft SQL Server,DynamoDB,Heroku,Heroku,Express,Django
9017,3230,C++,C++,MySQL,Firebase,Linux,Linux,jQuery,Express
9018,3230,Dart,Dart,PostgreSQL,MongoDB,Windows,Windows,React.js,jQuery
9019,3230,HTML/CSS,Erlang,Redis,MySQL,WordPress,,,Ruby on Rails
9020,3230,JavaScript,Go,SQLite,PostgreSQL,,,,
9021,3230,Objective-C,JavaScript,,Redis,,,,
9022,3230,PHP,Python,,,,,,
9023,3230,Python,R,,,,,,
9024,3230,R,SQL,,,,,,
9025,3230,SQL,,,,,,,
9026,3232,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Firebase,Linux,Android,Angular/Angular.js,Angular/Angular.js
9027,3232,C#,C#,Microsoft SQL Server,MariaDB,Slack,Docker,ASP.NET,ASP.NET
9028,3232,HTML/CSS,HTML/CSS,MySQL,Microsoft SQL Server,Windows,Google Cloud Platform,jQuery,Django
9029,3232,Java,Java,PostgreSQL,MySQL,WordPress,iOS,,jQuery
9030,3232,JavaScript,JavaScript,,PostgreSQL,,Linux,,React.js
9031,3232,PHP,PHP,,,,Slack,,Spring
9032,3232,Python,Python,,,,Windows,,Vue.js
9033,3232,SQL,SQL,,,,WordPress,,
9034,3232,,Swift,,,,,,
9035,3232,,TypeScript,,,,,,
9036,3232,,WebAssembly,,,,,,
9037,3233,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,PostgreSQL,AWS,AWS,Other(s):,Other(s):
9038,3233,C#,Python,PostgreSQL,SQLite,Docker,Docker,,
9039,3233,Java,R,SQLite,,Linux,Linux,,
9040,3233,Python,Ruby,,,,,,
9041,3233,R,Rust,,,,,,
9042,3233,Scala,Scala,,,,,,
9043,3233,SQL,SQL,,,,,,
9044,3238,HTML/CSS,Clojure,MySQL,DynamoDB,AWS,AWS,Django,Django
9045,3238,JavaScript,Go,PostgreSQL,Elasticsearch,Docker,Docker,Flask,Flask
9046,3238,Python,JavaScript,Redis,PostgreSQL,Heroku,Heroku,React.js,React.js
9047,3238,R,Python,SQLite,Redis,Linux,Linux,,Vue.js
9048,3238,,R,,SQLite,MacOS,MacOS,,
9049,3238,,,,,Slack,Slack,,
9050,3242,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Cassandra,AWS,AWS,jQuery,jQuery
9051,3242,Java,JavaScript,MariaDB,Firebase,Docker,Docker,React.js,React.js
9052,3242,JavaScript,PHP,MySQL,MariaDB,Google Cloud Platform,Google Cloud Platform,Spring,
9053,3242,PHP,SQL,Oracle,MongoDB,Linux,Linux,,
9054,3242,SQL,TypeScript,,MySQL,WordPress,WordPress,,
9055,3243,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js
9056,3243,C++,C#,Firebase,Firebase,AWS,AWS,Express,Django
9057,3243,C#,HTML/CSS,MongoDB,MongoDB,Docker,Docker,,Express
9058,3243,HTML/CSS,Java,Microsoft SQL Server,,iOS,Google Cloud Platform,,Flask
9059,3243,Java,JavaScript,MySQL,,Kubernetes,iOS,,React.js
9060,3243,JavaScript,Kotlin,Oracle,,Linux,Kubernetes,,
9061,3243,Objective-C,Objective-C,,,MacOS,Linux,,
9062,3243,Python,Python,,,Windows,MacOS,,
9063,3243,SQL,R,,,,Microsoft Azure,,
9064,3243,Swift,SQL,,,,,,
9065,3243,,Swift,,,,,,
